opLat,issueLat,threads,sim_seconds,sim_ticks,final_tick,avg_core_ipc,cpu0_committedInsts,cpu0_cpi,cpu0_floatsimd_insts,cpu0_floatsimd_pct,cpu0_ipc,cpu0_numCycles,cpu1_committedInsts,cpu1_cpi,cpu1_floatsimd_insts,cpu1_floatsimd_pct,cpu1_ipc,cpu1_numCycles,cpu2_committedInsts,cpu2_cpi,cpu2_floatsimd_insts,cpu2_floatsimd_pct,cpu2_ipc,cpu2_numCycles,cpu3_committedInsts,cpu3_cpi,cpu3_floatsimd_insts,cpu3_floatsimd_pct,cpu3_ipc,cpu3_numCycles
1,6,1,0.292773,292773391500.0,292773391500.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,2,0.42485,424850339000.0,424850339000.0,0.0370735,35660241.0,16.422229,11000832.0,21.87397162826398,0.060893,585620655.0,3500976.0,75.446713,1500064.0,23.071259620112542,0.013254,264137132.0,,,,,,,,,,,,
1,6,4,0.376149,376149282500.0,376149282500.0,0.02310525,35663072.0,16.425268,11000880.0,21.871687325738844,0.060882,585775506.0,1750976.0,95.166988,750064.0,23.06559942531581,0.010508,166635112.0,1750976.0,95.03936,750064.0,23.06559942531581,0.010522,166411638.0,1750976.0,95.154189,750064.0,23.06559942531581,0.010509,166612702.0
2,5,1,0.29273,292729514500.0,292729514500.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,2,0.401905,401905097000.0,401905097000.0,0.0384685,35660241.0,16.419725,11000832.0,21.87397162826398,0.060902,585531368.0,3500976.0,62.364744,1500064.0,23.071259620112542,0.016035,218337471.0,,,,,,,,,,,,
2,5,4,0.366842,366842252500.0,366842252500.0,0.024102,35663072.0,16.422978,11000880.0,21.871687325738844,0.06089,585693834.0,1750976.0,84.580191,750064.0,23.06559942531581,0.011823,148097884.0,1750976.0,84.240262,750064.0,23.06559942531581,0.011871,147502677.0,1750976.0,84.574167,750064.0,23.06559942531581,0.011824,148087337.0
3,4,1,0.292732,292731733000.0,292731733000.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,2,0.401905,401905097000.0,401905097000.0,0.0384685,35660241.0,16.419702,11000832.0,21.87397162826398,0.060902,585530527.0,3500976.0,62.364804,1500064.0,23.071259620112542,0.016035,218337682.0,,,,,,,,,,,,
3,4,4,0.366866,366866416000.0,366866416000.0,0.02409925,35663072.0,16.422786,11000880.0,21.871687325738844,0.060891,585687011.0,1750976.0,84.609873,750064.0,23.06559942531581,0.011819,148149857.0,1750976.0,84.268237,750064.0,23.06559942531581,0.011867,147551661.0,1750976.0,84.605661,750064.0,23.06559942531581,0.01182,148142481.0
4,3,1,0.292666,292666240000.0,292666240000.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,2,0.402064,402063673500.0,402063673500.0,0.038459,35660241.0,16.416054,11000832.0,21.87397162826398,0.060916,585400434.0,3500976.0,62.492482,1500064.0,23.071259620112542,0.016002,218784681.0,,,,,,,,,,,,
4,3,4,0.367315,367314842500.0,367314842500.0,0.02404025,35663072.0,16.419154,11000880.0,21.871687325738844,0.060904,585557480.0,1750976.0,85.193398,750064.0,23.06559942531581,0.011738,149171595.0,1750976.0,84.88327,750064.0,23.06559942531581,0.011781,148628569.0,1750976.0,85.192314,750064.0,23.06559942531581,0.011738,149169698.0
5,2,1,0.292656,292656156000.0,292656156000.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,2,0.402052,402052114000.0,402052114000.0,0.03846,35660241.0,16.415491,11000832.0,21.87397162826398,0.060918,585380372.0,3500976.0,62.491629,1500064.0,23.071259620112542,0.016002,218781694.0,,,,,,,,,,,,
5,2,4,0.366979,366978821000.0,366978821000.0,0.024077750000000002,35663072.0,16.418742,11000880.0,21.871687325738844,0.060906,585542767.0,1750976.0,84.82712,750064.0,23.06559942531581,0.011789,148530252.0,1750976.0,84.560124,750064.0,23.06559942531581,0.011826,148062747.0,1750976.0,84.817136,750064.0,23.06559942531581,0.01179,148512770.0
6,1,1,0.292666,292666239000.0,292666239000.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,2,0.402063,402063234000.0,402063234000.0,0.038459,35660241.0,16.416028,11000832.0,21.87397162826398,0.060916,585399509.0,3500976.0,62.492482,1500064.0,23.071259620112542,0.016002,218784681.0,,,,,,,,,,,,
